amendment	plant_code	plant_species	tissue	dryweight
_Control	L	Zea mays	root	0.0105
_Control	L	Zea mays	root	0.0227
_Control	L	Zea mays	root	0.0263
_Control	L	Zea mays	root	0.0152
_Control	L	Zea mays	root	0.0159
_Control	M	Triticum aestivum	root	0.0221
_Control	M	Triticum aestivum	root	0.0118
_Control	M	Triticum aestivum	root	0.0077
_Control	M	Triticum aestivum	root	0.011
_Control	M	Triticum aestivum	root	0.002
_Control	M	Triticum aestivum	root	0.0026
_Control	M	Triticum aestivum	root	0.0144
_Control	M	Triticum aestivum	root	0.0067
_Control	M	Triticum aestivum	root	0.0079
_Control	M	Triticum aestivum	root	0.009
_Control	M	Triticum aestivum	root	0.0108
_Control	M	Triticum aestivum	root	0.0087
_Control	M	Triticum aestivum	root	0.0054
_Control	M	Triticum aestivum	root	0.0085
_Control	M	Triticum aestivum	root	0.0109
_Control	M	Triticum aestivum	root	0.0108
_Control	N	Pisum sativum	root	0.0157
_Control	N	Pisum sativum	root	0.0151
_Control	N	Pisum sativum	root	0.0211
_Control	N	Pisum sativum	root	0.036
_Control	N	Pisum sativum	root	0.0211
_Control	N	Pisum sativum	root	0.0137
_Control	N	Pisum sativum	root	0.0247
_Control	N	Pisum sativum	root	0.015
_Control	N	Pisum sativum	root	0.0145
_Control	N	Pisum sativum	root	0.0256
_Control	N	Pisum sativum	root	0.0153
_Control	N	Pisum sativum	root	0.0193
_Control	N	Pisum sativum	root	0.0189
_Control	N	Pisum sativum	root	0.0138
_Control	O	Vicia faba	root	0.0847
_Control	O	Vicia faba	root	0.0911
_Control	O	Vicia faba	root	0.0721
_Control	O	Vicia faba	root	0.1109
_Control	O	Vicia faba	root	0.0683
_Control	O	Vicia faba	root	0.0644
_Control	O	Vicia faba	root	0.1145
_Control	O	Vicia faba	root	0.0632
_Control	O	Vicia faba	root	0.0505
_Control	O	Vicia faba	root	0.0809
_Control	O	Vicia faba	root	0.0587
_Control	O	Vicia faba	root	0.0984
_Control	O	Vicia faba	root	0.0665
_Control	O	Vicia faba	root	0.0931
_Control	O	Vicia faba	root	0.0788
_Control	O	Vicia faba	root	0.0913
_Control	O	Vicia faba	root	0.073
_Control	O	Vicia faba	root	0.0565
_Control	O	Vicia faba	root	0.0491
_Control	O	Vicia faba	root	0.052
_Control	O	Vicia faba	root	0.0904
_Control	O	Vicia faba	root	0.1397
_Control	O	Vicia faba	root	0.0833
_Control	O	Vicia faba	root	0.0651
_Control	O	Vicia faba	root	0.0469
_Control	P	Fagopyrum esculentum	root	0.0137
_Control	P	Fagopyrum esculentum	root	0.0068
_Control	P	Fagopyrum esculentum	root	0.0141
_Control	P	Fagopyrum esculentum	root	0.0051
_Control	P	Fagopyrum esculentum	root	0.0059
